,fecha,estado,casos
660,2020-01-21,21,0
661,2020-01-21,22,0
662,2020-01-21,23,0
663,2020-01-21,24,0
664,2020-01-21,25,0
665,2020-01-21,26,0
666,2020-01-21,27,0
667,2020-01-21,28,0
668,2020-01-21,29,0
669,2020-01-21,30,0
670,2020-01-21,31,0
671,2020-01-21,32,0
672,2020-01-22,1,0
673,2020-01-22,2,0
674,2020-01-22,3,0
675,2020-01-22,4,0
676,2020-01-22,5,0
677,2020-01-22,6,0
678,2020-01-22,7,0
679,2020-01-22,8,0
680,2020-01-22,9,0
681,2020-01-22,10,0
682,2020-01-22,11,0
683,2020-01-22,12,0
684,2020-01-22,13,0
685,2020-01-22,14,0
686,2020-01-22,15,0
687,2020-01-22,16,0
688,2020-01-22,17,0
689,2020-01-22,18,0
690,2020-01-22,19,0
691,2020-01-22,20,0
692,2020-01-22,21,0
693,2020-01-22,22,0
694,2020-01-22,23,0
695,2020-01-22,24,0
696,2020-01-22,25,0
697,2020-01-22,26,0
698,2020-01-22,27,0
699,2020-01-22,28,0
700,2020-01-22,29,2
701,2020-01-22,30,0
702,2020-01-22,31,0
703,2020-01-22,32,0
704,2020-01-23,1,0
705,2020-01-23,2,0
706,2020-01-23,3,0
707,2020-01-23,4,0
708,2020-01-23,5,0
709,2020-01-23,6,0
710,2020-01-23,7,0
711,2020-01-23,8,0
712,2020-01-23,9,0
713,2020-01-23,10,0
714,2020-01-23,11,0
715,2020-01-23,12,0
716,2020-01-23,13,0
717,2020-01-23,14,0
718,2020-01-23,15,0
719,2020-01-23,16,0
720,2020-01-23,17,0
721,2020-01-23,18,0
722,2020-01-23,19,0
723,2020-01-23,20,0
724,2020-01-23,21,0
725,2020-01-23,22,0
726,2020-01-23,23,0
727,2020-01-23,24,0
728,2020-01-23,25,0
729,2020-01-23,26,0
730,2020-01-23,27,0
731,2020-01-23,28,0
732,2020-01-23,29,1
733,2020-01-23,30,0
734,2020-01-23,31,0
735,2020-01-23,32,0
736,2020-01-24,1,0
737,2020-01-24,2,0
738,2020-01-24,3,0
739,2020-01-24,4,0
740,2020-01-24,5,0
741,2020-01-24,6,0
742,2020-01-24,7,0
743,2020-01-24,8,0
744,2020-01-24,9,0
745,2020-01-24,10,0
746,2020-01-24,11,0
747,2020-01-24,12,0
748,2020-01-24,13,0
749,2020-01-24,14,0
750,2020-01-24,15,0
751,2020-01-24,16,0
752,2020-01-24,17,0
753,2020-01-24,18,0
754,2020-01-24,19,0
755,2020-01-24,20,0
756,2020-01-24,21,0
757,2020-01-24,22,0
758,2020-01-24,23,0
759,2020-01-24,24,0
760,2020-01-24,25,0
761,2020-01-24,26,1
762,2020-01-24,27,0
763,2020-01-24,28,0
764,2020-01-24,29,0
765,2020-01-24,30,0
766,2020-01-24,31,0
767,2020-01-24,32,0
768,2020-01-25,1,0
769,2020-01-25,2,0
770,2020-01-25,3,0
771,2020-01-25,4,0
772,2020-01-25,5,0
773,2020-01-25,6,0
774,2020-01-25,7,0
775,2020-01-25,8,0
776,2020-01-25,9,1
777,2020-01-25,10,0
778,2020-01-25,11,0
779,2020-01-25,12,0
780,2020-01-25,13,0
781,2020-01-25,14,0
782,2020-01-25,15,0
783,2020-01-25,16,0
784,2020-01-25,17,0
785,2020-01-25,18,0
786,2020-01-25,19,0
787,2020-01-25,20,0
788,2020-01-25,21,0
789,2020-01-25,22,0
790,2020-01-25,23,0
791,2020-01-25,24,0
792,2020-01-25,25,0
793,2020-01-25,26,0
794,2020-01-25,27,0
795,2020-01-25,28,0
796,2020-01-25,29,0
797,2020-01-25,30,0
798,2020-01-25,31,0
799,2020-01-25,32,0
800,2020-01-26,1,0
801,2020-01-26,2,0
802,2020-01-26,3,0
803,2020-01-26,4,0
804,2020-01-26,5,0
805,2020-01-26,6,0
806,2020-01-26,7,0
807,2020-01-26,8,0
808,2020-01-26,9,0
809,2020-01-26,10,0
810,2020-01-26,11,0
811,2020-01-26,12,0
812,2020-01-26,13,0
813,2020-01-26,14,0
814,2020-01-26,15,0
815,2020-01-26,16,0
816,2020-01-26,17,0
817,2020-01-26,18,0
818,2020-01-26,19,0
819,2020-01-26,20,0
820,2020-01-26,21,0
821,2020-01-26,22,0
822,2020-01-26,23,0
823,2020-01-26,24,0
824,2020-01-26,25,0
825,2020-01-26,26,0
826,2020-01-26,27,0
827,2020-01-26,28,0
828,2020-01-26,29,1
829,2020-01-26,30,0
830,2020-01-26,31,0
831,2020-01-26,32,0
832,2020-01-27,1,0
833,2020-01-27,2,0
834,2020-01-27,3,0
835,2020-01-27,4,0
836,2020-01-27,5,0
837,2020-01-27,6,0
838,2020-01-27,7,0
839,2020-01-27,8,0
840,2020-01-27,9,0
841,2020-01-27,10,0
842,2020-01-27,11,0
843,2020-01-27,12,0
844,2020-01-27,13,0
845,2020-01-27,14,0
846,2020-01-27,15,0
847,2020-01-27,16,0
848,2020-01-27,17,0
849,2020-01-27,18,0
850,2020-01-27,19,0
851,2020-01-27,20,0
852,2020-01-27,21,0
853,2020-01-27,22,0
854,2020-01-27,23,0
855,2020-01-27,24,0
856,2020-01-27,25,0
857,2020-01-27,26,0
858,2020-01-27,27,0
859,2020-01-27,28,0
860,2020-01-27,29,1
861,2020-01-27,30,0
862,2020-01-27,31,0
863,2020-01-27,32,0
864,2020-01-28,1,0
865,2020-01-28,2,0
866,2020-01-28,3,0
867,2020-01-28,4,0
868,2020-01-28,5,0
869,2020-01-28,6,0
870,2020-01-28,7,0
871,2020-01-28,8,0
872,2020-01-28,9,0
873,2020-01-28,10,0
874,2020-01-28,11,0
875,2020-01-28,12,0
876,2020-01-28,13,0
877,2020-01-28,14,0
878,2020-01-28,15,0
879,2020-01-28,16,0
880,2020-01-28,17,0
881,2020-01-28,18,0
882,2020-01-28,19,0
883,2020-01-28,20,0
884,2020-01-28,21,0
885,2020-01-28,22,0
886,2020-01-28,23,0
887,2020-01-28,24,0
888,2020-01-28,25,0
889,2020-01-28,26,0
890,2020-01-28,27,0
891,2020-01-28,28,0
892,2020-01-28,29,0
893,2020-01-28,30,0
894,2020-01-28,31,0
895,2020-01-28,32,0
896,2020-01-29,1,0
897,2020-01-29,2,0
898,2020-01-29,3,0
899,2020-01-29,4,0
900,2020-01-29,5,0
901,2020-01-29,6,0
902,2020-01-29,7,0
903,2020-01-29,8,0
904,2020-01-29,9,0
905,2020-01-29,10,0
906,2020-01-29,11,0
907,2020-01-29,12,0
908,2020-01-29,13,0
909,2020-01-29,14,0
910,2020-01-29,15,0
911,2020-01-29,16,0
912,2020-01-29,17,0
913,2020-01-29,18,0
914,2020-01-29,19,0
915,2020-01-29,20,0
916,2020-01-29,21,0
917,2020-01-29,22,0
918,2020-01-29,23,0
919,2020-01-29,24,0
920,2020-01-29,25,0
921,2020-01-29,26,0
922,2020-01-29,27,0
923,2020-01-29,28,0
924,2020-01-29,29,0
925,2020-01-29,30,0
926,2020-01-29,31,0
927,2020-01-29,32,0
928,2020-01-30,1,0
929,2020-01-30,2,0
930,2020-01-30,3,0
931,2020-01-30,4,0
932,2020-01-30,5,0
933,2020-01-30,6,0
934,2020-01-30,7,0
935,2020-01-30,8,0
936,2020-01-30,9,0
937,2020-01-30,10,0
938,2020-01-30,11,0
939,2020-01-30,12,0
940,2020-01-30,13,0
941,2020-01-30,14,0
942,2020-01-30,15,1
943,2020-01-30,16,0
944,2020-01-30,17,0
945,2020-01-30,18,0
946,2020-01-30,19,0
947,2020-01-30,20,0
948,2020-01-30,21,0
949,2020-01-30,22,0
950,2020-01-30,23,0
951,2020-01-30,24,0
